,start_station_id,min_dist,under_half_mile_park,under_quar_mile_park,under_tenth_mile_park
1,7382.04,0.1567566423582228,1.0,1.0,0.0
5,6860.12,0.4729247094540999,1.0,0.0,0.0
6,7432.04,0.34566811424866806,1.0,0.0,0.0
7,7149.05,0.3754687424467735,1.0,0.0,0.0
14,7670.09,0.4010518886111077,1.0,0.0,0.0
23,7713.11,0.40176046863431336,1.0,0.0,0.0
44,7619.05,0.1346248219748766,1.0,1.0,0.0
47,7116.04,0.27567953637698506,1.0,0.0,0.0
56,6691.11,0.36214845891937497,1.0,0.0,0.0
58,7344.05,0.19388459638627573,1.0,1.0,0.0
62,7393.09,0.24831739129196095,1.0,1.0,0.0
72,6912.01,0.0,1.0,1.0,1.0
76,7207.08,0.3616098352756193,1.0,0.0,0.0
78,6779.04,0.3809334574978703,1.0,0.0,0.0
92,6659.01,0.4417413579535815,1.0,0.0,0.0
98,7667.04,0.4936060284287248,1.0,0.0,0.0
101,6830.02,0.3420321847028065,1.0,0.0,0.0
104,7311.02,0.37585243132125146,1.0,0.0,0.0
106,7354.01,0.0,1.0,1.0,1.0
110,6809.09,0.21745834699495573,1.0,1.0,0.0
124,6740.01,0.3649152543198888,1.0,0.0,0.0
125,6762.04,0.3066532481835915,1.0,0.0,0.0
127,6659.03,0.3248307345439099,1.0,0.0,0.0
134,6884.03,0.2200361858475871,1.0,1.0,0.0
139,6932.14,0.3236154316499173,1.0,0.0,0.0
145,7443.01,0.19116614869408535,1.0,1.0,0.0
152,7154.07,0.3966395897934253,1.0,0.0,0.0
153,6809.07,0.1788383759373679,1.0,1.0,0.0
154,7100.07,0.0,1.0,1.0,1.0
159,7713.01,0.2490249588748579,1.0,1.0,0.0
160,7650.05,0.2771140134374068,1.0,0.0,0.0
161,6896.16,0.4616131028074649,1.0,0.0,0.0
165,7688.12,0.3945604484994116,1.0,0.0,0.0
167,7141.07,0.0,1.0,1.0,1.0
169,7243.04,0.27895412940858666,1.0,0.0,0.0
172,7260.09,0.36618459985034935,1.0,0.0,0.0
178,7212.05,0.41521170695022186,1.0,0.0,0.0
185,6816.07,0.3820658353324571,1.0,0.0,0.0
191,7646.04,0.0,1.0,1.0,1.0
212,7680.03,0.24118888593863186,1.0,1.0,0.0
237,7188.1,0.2815331780342565,1.0,0.0,0.0
238,7079.06,0.0,1.0,1.0,1.0
243,7365.13,0.3710097920023019,1.0,0.0,0.0
251,6948.1,0.13845985900908808,1.0,1.0,0.0
252,7092.06,0.371364872739677,1.0,0.0,0.0
253,6732.01,0.1557858156395936,1.0,1.0,0.0
263,7409.08,0.405340996902774,1.0,0.0,0.0
270,7617.07,0.0,1.0,1.0,1.0
274,7520.07,0.20873090823767754,1.0,1.0,0.0
275,7188.13,0.2181138548575354,1.0,1.0,0.0
277,7488.24,0.1670157217651488,1.0,1.0,0.0
281,7432.09,0.20235913349925774,1.0,1.0,0.0
283,7365.08,0.4657298389710202,1.0,0.0,0.0
284,7458.03,0.35654635648877314,1.0,0.0,0.0
299,7528.31,0.1793990678379702,1.0,1.0,0.0
312,7602.05,0.18028053480741466,1.0,1.0,0.0
315,7610.13,0.31305817457762525,1.0,0.0,0.0
326,6740.1,0.4066078357605139,1.0,0.0,0.0
329,6839.1,0.0,1.0,1.0,1.0
330,6700.14,0.3958329278838095,1.0,0.0,0.0
333,6617.09,0.37162741786813197,1.0,0.0,0.0
334,7161.08,0.0,1.0,1.0,1.0
335,7634.01,0.23692760725908826,1.0,1.0,0.0
339,6847.02,0.1810711015910864,1.0,1.0,0.0
342,7640.04,0.37294917971551533,1.0,0.0,0.0
344,7175.05,0.1698653894010212,1.0,1.0,0.0
349,7323.09,0.0,1.0,1.0,1.0
351,7293.1,0.2148249700557993,1.0,1.0,0.0
366,7281.09,0.20562550702342106,1.0,1.0,0.0
372,6659.1,0.4566457145017924,1.0,0.0,0.0
390,7567.06,0.30280961606651313,1.0,0.0,0.0
391,7511.19,0.0,1.0,1.0,1.0
392,6617.02,0.4159574950442219,1.0,0.0,0.0
394,7538.14,0.1644929412044776,1.0,1.0,0.0
401,6650.08,0.4578226308645151,1.0,0.0,0.0
403,7443.17,0.2855897554536881,1.0,0.0,0.0
408,7631.23,0.17236227848459165,1.0,1.0,0.0
410,7463.09,0.292019333920649,1.0,0.0,0.0
413,7502.01,0.4496749061505131,1.0,0.0,0.0
416,6801.01,0.0,1.0,1.0,1.0
418,7360.1,0.3259840784926176,1.0,0.0,0.0
419,7414.17,0.4155821627913593,1.0,0.0,0.0
420,7599.09,0.3564698370840959,1.0,0.0,0.0
425,6650.07,0.4649552726893651,1.0,0.0,0.0
430,6969.08,0.1966709260872545,1.0,1.0,0.0
433,7453.01,0.0,1.0,1.0,1.0
434,7643.18,0.24449036718365574,1.0,1.0,0.0
438,7230.1,0.2013508997736168,1.0,1.0,0.0
439,6779.05,0.29625588942804193,1.0,0.0,0.0
442,6998.08,0.18392952045489794,1.0,1.0,0.0
443,7014.12,0.27324240639316505,1.0,0.0,0.0
444,7606.01,0.0,1.0,1.0,1.0
449,7587.16,0.0,1.0,1.0,1.0
454,7372.1,0.0,1.0,1.0,1.0
455,7538.18,0.0,1.0,1.0,1.0
456,7685.14,0.4793573451240985,1.0,0.0,0.0
463,7658.13,0.3027900383492601,1.0,0.0,0.0
465,7577.27,0.0,1.0,1.0,1.0
468,7727.08,0.4462292485049385,1.0,0.0,0.0
475,7028.04,0.38339999204887815,1.0,0.0,0.0
482,7265.1,0.4208813562303965,1.0,0.0,0.0
485,6876.04,0.0,1.0,1.0,1.0
488,6932.15,0.2534873945626656,1.0,0.0,0.0
494,7541.01,0.4141700676398823,1.0,0.0,0.0
504,7304.08,0.0,1.0,1.0,1.0
507,7627.1,0.25900768103368005,1.0,0.0,0.0
512,7253.04,0.0,1.0,1.0,1.0
513,7623.13,0.4397063186222394,1.0,0.0,0.0
519,7595.17,0.16190915982145915,1.0,1.0,0.0
526,6920.03,0.4165211384062777,1.0,0.0,0.0
544,6960.1,0.4094567608603817,1.0,0.0,0.0
553,7599.02,0.2427897668503562,1.0,1.0,0.0
556,7504.18,0.3417559161672253,1.0,0.0,0.0
570,7655.22,0.34676158532796564,1.0,0.0,0.0
575,6659.09,0.39755377109643225,1.0,0.0,0.0
578,7543.15,0.4156427997316792,1.0,0.0,0.0
596,6839.04,0.062148143832061124,1.0,1.0,1.0
599,6991.12,0.4950627139597459,1.0,0.0,0.0
600,6904.06,0.0,1.0,1.0,1.0
601,7625.18,0.4273437240015469,1.0,0.0,0.0
614,7692.11,0.3042019480513474,1.0,0.0,0.0
615,7580.01,0.4694363344511781,1.0,0.0,0.0
616,7052.01,0.28624435660609565,1.0,0.0,0.0
625,7128.08,0.20679539424587026,1.0,1.0,0.0
